FPR,TPR,Threshold
0.0,0.0,1.9508026133305938
0.0,0.010752688172043012,0.9508026133305938
0.0,0.06451612903225806,0.9211080060461824
0.020833333333333332,0.06451612903225806,0.9071108408740741
0.020833333333333332,0.08602150537634409,0.8994684480819627
0.041666666666666664,0.08602150537634409,0.8974027693902692
0.041666666666666664,0.20430107526881722,0.8803459412455625
0.08333333333333333,0.20430107526881722,0.8753752365358827
0.08333333333333333,0.3548387096774194,0.8310013553775147
0.16666666666666666,0.3548387096774194,0.8189948509462356
0.16666666666666666,0.45161290322580644,0.8015493719731133
0.1875,0.45161290322580644,0.80142259673555
0.1875,0.5268817204301075,0.7718045754127153
0.22916666666666666,0.5268817204301075,0.7691969617910543
0.22916666666666666,0.5376344086021505,0.7690679122633244
0.2916666666666667,0.5376344086021505,0.7666760769588343
0.2916666666666667,0.5483870967741935,0.7595366089022682
0.3125,0.5483870967741935,0.7587647936749988
0.3125,0.7096774193548387,0.7313709501857529
0.375,0.7096774193548387,0.7296898914469075
0.375,0.7526881720430108,0.7236288124110695
0.4166666666666667,0.7526881720430108,0.7194560466915031
0.4166666666666667,0.8387096774193549,0.6948826539553881
0.4375,0.8387096774193549,0.6924896301325175
0.4375,0.8924731182795699,0.6653424758215459
0.4791666666666667,0.8924731182795699,0.6537700816680567
0.4791666666666667,1.0,0.6063159268252124
1.0,1.0,0.07008814048050392
